"STATION","Lat","Long","ZipCode","County","State","RadiusInMiles","BoundsWest","BoundsEast","BoundsNorth","BoundsSouth"
"USC00392984",44.0517,-96.5928,"57028","Moody County","SD",17,-96.788888,-96.453085,44.195684,43.890997
"USC00124244",41.6317,-87.0881,"46304","Porter County","IN",7,-87.146568,-86.951463,41.690053,41.549865
"USC00148578",39.8089,-97.055,"66968","Washington County","KS",11,-97.218482,-96.932448,39.944539,39.711579
"USC00252205",41.2492,-97.1328,"68632","Butler County","NE",12,-97.310634,-96.985299,41.368687,41.104535
"USC00135493",43.3828,-95.1842,NA,NA,NA,NA,NA,NA,NA,NA
"USC00116610",39.6186,-87.6672,"61944","Edgar County","IL",12,-87.882203,-87.531666,39.744844,39.476401
"USC00135131",42.0772,-90.6647,"52060","Jackson County","IA",11,-90.83043,-90.524518,42.208312,41.989056
"USC00110072",41.1978,-90.7447,"61231","Mercer County","IL",11,-90.860299,-90.585979,41.328853,41.06833
"USC00231748",38.4844,-93.2556,"65325","Benton County","MO",10,-93.367207,-93.067294,38.535388,38.302355
"USC00478171",44.5114,-89.5853,"54481","Portage County","WI",9,-89.7472,-89.518155,44.598857,44.445343
"USC00136103",43.4386,-93.2253,"50459","Worth County","IA",16,-93.497384,-93.044596,43.499651,43.361788
"USC00471416",43.0597,-89.4819,"53719","Dane County","WI",3,-89.537422,-89.448343,43.061531,42.993313
"USC00116970",40.5914,-90.4642,"61470","McDonough County","IL",4,-90.578691,-90.445506,40.63074,40.56907
"USC00137312",42.4194,-94.9761,"50583","Sac County","IA",10,-95.108978,-94.877045,42.547061,42.325375
"USC00250375",41.0408,-96.3811,"68003","Saunders County","NE",12,-96.521355,-96.236124,41.206113,40.957035
"USC00472869",42.905,-88.8589,"53538","Jefferson County","WI",12,-89.013489,-88.659928,43.015562,42.824319
"USC00130807",42.0417,-93.8908,"50036","Boone County","IA",13,-94.007555,-93.698654,42.209709,41.950318
"USC00134049",42.5269,-91.8781,"50644","Buchanan County","IA",10,-92.031028,-91.736825,42.578247,42.369789
"USC00113106",38.6781,-88.4797,"62839","Clay County","IL",7,-88.584699,-88.410196,38.737523,38.602879
"USC00391777",44.7575,-96.6831,"57226","Deuel County","SD",15,-96.925508,-96.536958,44.933864,44.630567
"USC00115888",38.4106,-87.7578,"62863","Wabash County","IL",15,-87.992226,-87.730134,38.57001,38.236297
"USC00115768",40.9442,-90.6381,"61462","Warren County","IL",11,-90.825504,-90.517112,41.067595,40.785075
"USC00116616",41.4947,-87.6803,"60466","Cook County","IL",3,-87.709872,-87.652514,41.506176,41.447332
"USC00118916",41.5603,-89.6025,"61376","Bureau County","IL",10,-89.758371,-89.49685,41.627254,41.453005
"USC00113109",38.7103,-88.5758,"62858","Clay County","IL",11,-88.685309,-88.361014,38.927933,38.709529
"USC00116738",39.8058,-90.8239,"62314","Pike County","IL",7,-90.977989,-90.776463,39.845075,39.68948
"USC00148563",39.2142,-96.37,"66547","Pottawatomie County","KS",12,-96.41741,-96.202445,39.362507,39.086674
"USC00127522",39.7594,-87.2269,"47872","Parke County","IN",14,-87.340537,-86.999441,39.87493,39.644338
"USC00234904",39.1828,-93.855,"64067","Lafayette County","MO",10,-93.950458,-93.687981,39.215505,39.083871
"USC00215488",44.16,-91.8122,"55959","Winona County","MN",7,-91.87156,-91.707586,44.192131,44.02382
"USC00111280",39.2883,-89.8703,"62626","Macoupin County","IL",11,-90.036834,-89.702783,39.39909,39.150695
"USC00472851",44.6997,-87.3969,"54235","Door County","WI",16,-87.629283,-87.160504,44.989005,44.675581
"USC00111160",38.5669,-90.1942,"62206","St. Clair County","IL",4,-90.224055,-90.104477,38.600906,38.541596
"USC00472973",43.975,-89.8308,"53934","Adams County","WI",16,-89.981684,-89.618121,44.112016,43.818251
"USC00112483",37.9878,-89.1931,"62832","Perry County","IL",9,-89.378884,-89.130429,38.083096,37.935597
"USC00114780",40.9025,-90.2897,"61448","Knox County","IL",7,-90.327605,-90.184334,41.034153,40.845004
"USC00113455",40.8822,-91.0233,"61437","Henderson County","IL",7,-91.091569,-90.911473,40.895697,40.776095
"USC00259193",41.2211,-96.7775,"68070","Saunders County","NE",7,-96.908829,-96.697505,41.264104,41.118269
"USC00115515",38.0844,-88.5425,"62859","Hamilton County","IL",9,-88.705259,-88.373038,38.211933,37.950906
"USC00145063",39.8383,-96.6364,"66508","Marshall County","KS",13,-96.789996,-96.463648,40.001541,39.710969
"USC00253630",42.6167,-97.2608,"68739","Cedar County","NE",17,-97.48569,-97.015358,42.771873,42.496603
"USC00255810",40.6986,-95.8867,"68410","Otoe County","NE",11,-96.006929,-95.709974,40.784292,40.522914
"USC00113320",40.9464,-90.3856,"61401","Knox County","IL",11,-90.491979,-90.220031,41.063997,40.81622
"USC00134063",41.3664,-93.6481,"50125","Warren County","IA",13,-93.703345,-93.461928,41.456246,41.175885
"USC00136243",42.0697,-96.1258,"51040","Monona County","IA",14,-96.279536,-95.903261,42.12683,41.945606
"USC00470308",43.3042,-89.3453,"53911","Columbia County","WI",7,-89.444523,-89.285057,43.379295,43.275485
"USC00251684",40.5208,-98.0536,"68933","Clay County","NE",15,-98.109053,-97.919318,40.582795,40.466478
"USC00114530",41.5033,-88.1033,"60436","Will County","IL",5,-88.197575,-88.075416,41.524883,41.451234
"USC00251560",41.1222,-98.0283,"68826","Merrick County","NE",12,-98.13491,-97.876581,41.293761,41.015201
"USC00116837",39.62,-90.8033,"62363","Pike County","IL",13,-90.96642,-90.572227,39.67538,39.484586
"USC00148341",39.3033,-95.4861,"66088","Jefferson County","KS",10,-95.589059,-95.290516,39.450008,39.251314
"USC00259045",42.2361,-97.0108,"68787","Wayne County","NE",12,-97.173777,-96.920455,42.351351,42.090523
"USC00128999",41.5114,-87.0378,"46383","Porter County","IN",10,-87.084984,-86.929352,41.574013,41.361523
"USC00237397",38.8142,-90.5139,"63301","St. Charles County","MO",13,-90.669249,-90.2812,38.967769,38.764013
"USC00237398",38.6853,-90.5233,"63017","St. Louis County","MO",6,-90.585654,-90.480822,38.695381,38.607815
"USC00214176",44.65,-93.6356,"55352","Scott County","MN",10,-93.747339,-93.460241,44.740221,44.587379
"USC00217326",43.9903,-94.6122,"56081","Watonwan County","MN",14,-94.782765,-94.489041,44.145543,43.848111
"USC00472839",43.7953,-88.4533,"54935","Fond du Lac County","WI",4,-88.482508,-88.379321,43.81978,43.733278
"USC00111497",42.14,-87.7853,"60022","Cook County","IL",2,-87.790082,-87.725967,42.15286,42.119335
"USC00112223",41.9342,-88.7756,"60115","DeKalb County","IL",9,-88.858308,-88.639807,41.987066,41.802368
"USC00114400",38.4933,-88.9708,"62801","Marion County","IL",14,-89.348018,-88.959503,38.612161,38.394161
"USC00477052",43.5231,-90.0003,"53959","Sauk County","WI",12,-90.163875,-89.80799,43.641622,43.441954
"USC00112348",41.835,-89.5136,"61021","Lee County","IL",11,-89.630232,-89.336808,41.945358,41.707195
"USC00126580",38.8878,-86.5519,"47421","Lawrence County","IN",13,-86.67201,-86.275281,38.992147,38.729601
"USC00392302",44.3825,-97.5497,"57231","Kingsbury County","SD",18,-97.743287,-97.451048,44.544204,44.194515
"USC00470645",43.4428,-88.8453,"53916","Dodge County","WI",10,-88.977141,-88.733802,43.550819,43.328749
"USC00218323",44.2394,-95.6308,"56175","Lyon County","MN",12,-95.816289,-95.513163,44.38496,44.108991
"USC00122149",40.615,-86.6661,"46923","Carroll County","IN",12,-86.780281,-86.505962,40.722373,40.454371
"USC00255997",42.0289,-97.4855,"68701","Madison County","NE",14,-97.679218,-97.280747,42.148524,41.887848
"USC00471970",43.6561,-89.2028,"53926","Green Lake County","WI",7,-89.29669,-89.125587,43.730906,43.599646
"USC00232511",37.8642,-94.0156,"64744","Cedar County","MO",13,-94.18189,-93.808648,38.025849,37.67427
"USC00477158",43.3314,-90.3889,"53581","Richland County","WI",15,-90.64804,-90.191872,43.50751,43.234195
"USC00470882",44.2906,-91.23,"54616","Trempealeau County","WI",10,-91.380571,-91.116559,44.418871,44.202883
"USC00218692",44.0708,-93.5264,"56093","Waseca County","MN",12,-93.697492,-93.326472,44.210795,43.934999
"USC00113384",41.4511,-90.1486,"61254","Henry County","IL",12,-90.329109,-89.972477,41.584653,41.342992
"USC00113262",42.2972,-89.6039,"61032","Stephenson County","IL",12,-89.768981,-89.485734,42.447485,42.200534
"USC00115326",42.2636,-88.6078,"60152","McHenry County","IL",11,-88.705683,-88.510571,42.356778,42.13895
"USC00216152",44.7628,-94.9297,"56277","Renville County","MN",13,-95.097868,-94.874327,44.892373,44.628899
"USC00136305",43.2794,-92.8106,"50461","Mitchell County","IA",16,-93.024217,-92.574222,43.428903,43.198151
"USC00147796",38.2144,-98.2078,"67579","Rice County","KS",13,-98.473104,-97.977081,38.304217,38.071657
"USC00391579",43.0428,-96.9033,"57014","Turner County","SD",14,-97.081507,-96.845257,43.24345,42.953259
"USC00146100",39.2419,-95.2725,"66066","Jefferson County","KS",10,-95.431902,-95.252302,39.28872,39.092493
"USC00390128",43.6514,-97.7981,"57311","Hanson County","SD",18,-97.886908,-97.606479,43.850132,43.486009
"USC00252595",41.9872,-98.0747,"68636","Antelope County","NE",15,-98.373596,-97.949851,42.160528,41.914954
"USC00127724",38.1642,-86.8094,"47577","Spencer County","IN",5,-86.864994,-86.751824,38.200423,38.100946
"USC00399070",44.0756,-98.5706,"57382","Jerauld County","SD",20,-98.926649,-98.412228,44.247564,43.831316
"USC00133290",41.0097,-95.7736,"51534","Mills County","IA",11,-95.794677,-95.623067,41.160136,40.915928
"USC00115430",39.4725,-88.3544,"61938","Coles County","IL",10,-88.471396,-88.247712,39.60341,39.373638
"USC00470516",43.4583,-89.7269,"53913","Sauk County","WI",11,-89.916836,-89.582076,43.600923,43.39072
"USC00144178",38.6078,-97.9597,"67464","McPherson County","KS",10,-98.035861,-97.763662,38.696911,38.456174
"USC00136316",41.0194,-93.7503,"50213","Clarke County","IA",12,-93.918794,-93.585986,41.162082,40.896761
"USC00116526",41.3283,-88.9106,"61350","LaSalle County","IL",12,-89.010604,-88.708178,41.485663,41.218567
"USC00478229",42.9108,-89.2133,"53589","Dane County","WI",9,-89.323448,-89.091728,43.01632,42.840665
"USC00232850",38.2325,-90.3981,"63028","Jefferson County","MO",12,-90.53046,-90.265406,38.262111,37.978053
"USC00479319",43.6089,-89.7667,"53965","Sauk County","WI",13,-89.91786,-89.596748,43.832933,43.56384
"USC00231640",39.3736,-90.9061,"63336","Pike County","MO",8,-91.070008,-90.836838,39.439158,39.261304
"USC00218227",44.2811,-92.1944,"55945","Wabasha County","MN",12,-92.242025,-91.887921,44.341415,44.193015
"USC00478589",43.9994,-91.4378,"55987","Winona County","MN",16,-91.856544,-91.364321,44.104001,43.877024
"USC00116753",41.3503,-89.1072,"61354","LaSalle County","IL",11,-89.182916,-89.096558,41.454802,41.206877
"USC00134142",42.5189,-93.2536,"50126","Hardin County","IA",13,-93.364966,-93.129395,42.644015,42.383126
"USC00116998",41.3661,-89.4519,"61356","Bureau County","IL",13,-89.627068,-89.277532,41.512988,41.233704
"USC00146128",38.6133,-95.2808,"66067","Franklin County","KS",11,-95.417017,-95.121054,38.738915,38.506424
"USC00134389",40.7356,-91.9697,"52565","Van Buren County","IA",11,-92.088216,-91.775773,40.825427,40.640497
"USC00145152",38.3772,-97.6097,"67460","McPherson County","KS",12,-97.88796,-97.544081,38.5074,38.231947
"USC00475189",43.1706,-89.8197,"53560","Dane County","WI",8,-89.886788,-89.614659,43.269989,43.127629
"USC00124356",39.9236,-86.5983,"46147","Boone County","IN",8,-86.695832,-86.51555,40.05469,39.893698
"USC00253660",40.6472,-98.3836,"68901","Adams County","NE",11,-98.49707,-98.14688,40.698566,40.480852
"USC00253425",41.5461,-98.5331,"68842","Greeley County","NE",12,-98.642244,-98.291219,41.697395,41.451658
"USC00230204",38.1872,-94.0283,"64724","St. Clair County","MO",8,-94.180458,-93.850953,38.216939,38.054289
"USC00140957",39.0636,-94.8961,"66012","Wyandotte County","KS",6,-95.001649,-94.834918,39.128632,38.983364
"USC00114442",39.7347,-90.1978,"62650","Morgan County","IL",12,-90.437834,-90.061476,39.873455,39.6038
"USC00399042",44.0083,-97.0042,"57075","Lake County","SD",8,-97.049453,-96.888647,44.080546,43.90617
"USC00117952",39.9678,-87.8228,"61876","Vermilion County","IL",6,-87.919,-87.756968,39.969242,39.839818
"USC00215073",44.1542,-94.0211,"56001","Blue Earth County","MN",11,-94.143271,-93.848382,44.239819,44.021973
"USC00115413",40.1642,-89.6511,"62664","Mason County","IL",8,-89.831534,-89.601195,40.319428,40.121214
"USC00233838",39.0733,-93.7075,"64037","Lafayette County","MO",11,-93.829042,-93.625935,39.181551,38.934347
"USC00135123",42.1619,-95.7836,"51034","Monona County","IA",11,-95.90413,-95.643027,42.25843,42.048434
"USC00137664",43.4047,-95.7483,"51249","Osceola County","IA",9,-95.860579,-95.584738,43.500023,43.316034
"USC00259090",40.8639,-96.1414,"68463","Cass County","NE",6,-96.21751,-96.050877,40.943816,40.813003
"USC00216287",44.0975,-93.2317,"55060","Steele County","MN",12,-93.406343,-93.045569,44.175137,43.92091
"USC00137669",40.7361,-95.6431,"51652","Fremont County","IA",9,-95.730492,-95.509027,40.873383,40.669149
"USC00238051",39.9703,-91.8875,"63447","Lewis County","MO",13,-91.952726,-91.822294,40.256471,39.948443
"USC00257055",40.9536,-96.7442,"68428","Lancaster County","NE",8,-96.92984,-96.681336,41.031325,40.915068
"USC00211174",44.0908,-92.64,"55920","Olmsted County","MN",10,-92.678285,-92.55659,44.119615,43.909618
"USC00218808",43.7467,-93.7367,"56097","Faribault County","MN",15,-93.867519,-93.571072,43.876965,43.543084
"USC00476827",43.0514,-91.135,"53821","Crawford County","WI",14,-91.179457,-90.879581,43.154661,42.938488
"USC00121256",37.8994,-86.7072,"47520","Perry County","IN",14,-86.756266,-86.430228,38.169257,37.841453
"USC00252840",40.6422,-97.5928,"68354","Fillmore County","NE",8,-97.710007,-97.46361,40.727626,40.524454
"USC00133473",41.72,-92.7489,"50112","Poweshiek County","IA",13,-92.844066,-92.590605,41.862384,41.581169
"USC00470045",42.6375,-89.0642,NA,NA,NA,NA,NA,NA,NA,NA
"USC00126705",38.5556,-86.4858,NA,NA,NA,NA,NA,NA,NA,NA
"USC00114710",41.2428,-89.8997,"61443","Henry County","IL",9,-90.055462,-89.830076,41.346775,41.16389
"USC00134561",43.4483,-95.3247,"51347","Dickinson County","IA",10,-95.387994,-95.190894,43.501196,43.298332
"USC00230817",38.9708,-92.7603,"65233","Cooper County","MO",14,-92.914954,-92.526437,38.984305,38.808707
"USC00114957",38.7239,-87.7197,"62439","Lawrence County","IL",9,-87.772458,-87.495199,38.852507,38.643147
"USC00114837",42.4308,-88.0594,"60046","Lake County","IL",5,-88.140233,-87.989028,42.455228,42.366414
"USC00110598",40.3444,-91.1125,"62321","Hancock County","IL",12,-91.252372,-90.944438,40.521001,40.257005
"USC00258395",40.6661,-96.1892,"68446","Otoe County","NE",10,-96.274544,-96.067402,40.769715,40.537281
"USC00138806",42.4686,-93.7975,"50595","Hamilton County","IA",12,-93.971617,-93.67957,42.557618,42.325073
"USC00473661",43.6408,-87.9097,"53085","Sheboygan County","WI",10,-87.941833,-87.76003,43.848344,43.63815
"USC00210075",43.6064,-93.3019,"56007","Freeborn County","MN",16,-93.518296,-93.049336,43.766785,43.550151
"USC00133007",40.6222,-91.3339,"52627","Lee County","IA",10,-91.44657,-91.257883,40.753081,40.579084
"USC00126830",40.0739,-87.5067,"47974","Vermillion County","IN",7,-87.532399,-87.412136,40.096871,39.958998
"USC00133487",42.3647,-92.7594,"50638","Grundy County","IA",11,-92.944189,-92.670545,42.456108,42.282426
"USC00124657",41.3053,-86.6286,"46534","Starke County","IN",10,-86.746119,-86.466436,41.389691,41.172
"USC00131060",40.7747,-91.1164,"52601","Des Moines County","IA",13,-91.258026,-90.951967,40.986185,40.696301
"USC00215887",44.3006,-94.4897,"56073","Brown County","MN",18,-94.624401,-94.250834,44.42673,44.18117
"USC00251990",42.4603,-97.9047,"68729","Knox County","NE",14,-98.12948,-97.691127,42.579167,42.349862
"USC00111436",39.4761,-88.1653,"61920","Coles County","IL",12,-88.266593,-88.045152,39.63757,39.375036
"USC00137844",43.1653,-95.1467,"51301","Clay County","IA",12,-95.269395,-95.015162,43.255613,43.024791
"USC00113612",38.2758,-87.9989,"62844","White County","IL",9,-88.197136,-87.946072,38.335347,38.204718
"USC00137726",42.8931,-95.0653,"50585","Buena Vista County","IA",9,-95.220462,-95.033641,43.010463,42.823496
"USC00238515",38.4444,-91.0042,"63084","Franklin County","MO",8,-91.127001,-90.879756,38.488724,38.345205
"USC00476922",42.7022,-87.7861,"53403","Racine County","WI",4,-87.894892,-87.765897,42.733843,42.626895
"USC00211198",43.6308,-91.5028,"55921","Houston County","MN",12,-91.613336,-91.24572,43.751923,43.500485
"USC00237300",38.4508,-91.3753,"63037","Franklin County","MO",11,-91.368644,-91.243129,38.553548,38.303938
"USC00234154",39.0647,-94.3861,"64055","Jackson County","MO",4,-94.474983,-94.348727,39.080164,39.019412
"USC00470265",44.2769,-88.4378,"54914","Outagamie County","WI",6,-88.557424,-88.415358,44.299288,44.22592
"USC00252820",40.0739,-97.1669,"68352","Jefferson County","NE",14,-97.369251,-97.010789,40.320858,40.001179
"USC00473654",43.6542,-90.3339,"54634","Vernon County","WI",13,-90.551246,-90.285688,43.71373,43.465904
"USC00111420",41.3978,-88.2819,"60450","Grundy County","IL",12,-88.595378,-88.248463,41.480942,41.261836
"USC00134101",41.6092,-91.505,"52240","Johnson County","IA",13,-91.711048,-91.365897,41.772992,41.510958
"USC00134585",40.6233,-93.9342,"50140","Decatur County","IA",7,-94.130021,-93.85395,40.742495,40.572901
"USC00135796",40.9486,-91.5647,"52641","Henry County","IA",16,-91.780527,-91.428988,41.200847,40.838982
"USC00136766",43.09,-91.5581,"52162","Allamakee County","IA",12,-91.673719,-91.429387,43.22221,42.970826
"USC00137613",40.7719,-95.3567,"51601","Page County","IA",10,-95.479146,-95.193866,40.829166,40.597085
"USC00111302",38.0733,-88.1805,"62821","White County","IL",14,-88.282398,-87.956664,38.242197,37.942976
"USC00134228",42.0103,-94.3953,"50129","Greene County","IA",13,-94.51277,-94.261003,42.151703,41.863001
"USC00235492",40.4575,-92.1822,"63555","Scotland County","MO",14,-92.350541,-92.021878,40.602273,40.347914
"USC00137859",43.4231,-95.1394,"51360","Dickinson County","IA",12,-95.258757,-94.922638,43.55142,43.342166
"USC00115901",42.0981,-89.9842,"61053","Carroll County","IL",12,-90.084599,-89.860007,42.24264,41.993848
"USC00110338",41.7803,-88.3092,"60505","Kane County","IL",3,-88.331541,-88.26198,41.80275,41.72837
"USC00233079",38.8483,-91.9419,"65251","Callaway County","MO",13,-92.168962,-91.791881,38.953349,38.70437
