"STATION","Lat","Long","ZipCode","County","State","RadiusInMiles","BoundsWest","BoundsEast","BoundsNorth","BoundsSouth"
"USW00014920",43.8789,-91.2528,NA,NA,NA,NA,NA,NA,NA,NA
"USC00124837",41.6117,-86.7297,"46350","LaPorte County","IN",12,-86.89711,-86.581631,41.759993,41.482518
"USC00474457",42.6006,-88.4253,"53147","Walworth County","WI",8,-88.54112,-88.339652,42.65483,42.494495
"USC00236745",38.81,-94.2647,"64080","Cass County","MO",11,-94.40396,-94.119096,38.849491,38.658201
"USC00238805",38.6989,-90.6828,"63304","St. Charles County","MO",8,-90.77768,-90.567835,38.763188,38.634563
"USC00211468",44.8131,-93.6311,"55318","Carver County","MN",7,-93.725065,-93.520431,44.869978,44.750431
"USC00124715",40.2964,-86.9028,"47909","Tippecanoe County","IN",10,-87.036178,-86.736217,40.415466,40.214856
"USC00475786",44.0261,-90.0814,"54646","Juneau County","WI",16,-90.231698,-89.951429,44.24924,43.905612
"USC00144559",38.9583,-95.2514,"66045","Douglas County","KS",0.454545454545455,-95.260482,-95.240577,38.965654,38.950837
"USC00118324",42.0256,-88.1783,"60107","Cook County","IL",3,-88.221779,-88.138491,42.045525,41.99504
"USC00134874",41.8264,-96.0506,"51545","Harrison County","IA",5,-96.111029,-95.93701,41.901999,41.761779
"USC00135844",41.4714,-91.0464,"52761","Muscatine County","IA",16,-91.291653,-90.802915,41.537394,41.237054
"USC00134758",40.7244,-93.6453,"50144","Decatur County","IA",9,-93.900564,-93.603649,40.861358,40.609172
"USC00219072",44.0875,-91.6703,"55987","Winona County","MN",16,-91.856544,-91.364321,44.104001,43.877024
"USC00258465",40.3544,-96.1939,"68450","Johnson County","NE",14,-96.362675,-96.066002,40.450703,40.261954
"USC00130203",41.9519,-93.5656,"50010","Story County","IA",9,-93.659401,-93.521379,42.124194,41.935739
"USC00132864",42.8825,-91.8303,"52142","Fayette County","IA",11,-91.884327,-91.666633,42.920907,42.701931
"USC00131533",40.7244,-95.0192,"51632","Page County","IA",13,-95.200366,-94.913124,40.901046,40.608517
"USC00235340",40.3458,-94.8342,"64468","Nodaway County","MO",10,-95.009276,-94.74264,40.447529,40.216131
"USC00233043",38.4583,-91.7028,"65051","Osage County","MO",10,-91.92754,-91.629378,38.563405,38.375208
"USC00130200",42.0208,-93.7742,"50036","Boone County","IA",13,-94.007555,-93.698654,42.209709,41.950318
"USW00014933",41.5339,-93.6531,NA,NA,NA,NA,NA,NA,NA,NA
"USC00213311",44.8136,-95.5517,"56241","Yellow Medicine County","MN",11,-95.746834,-95.412529,44.89826,44.701512
"USC00251825",41.4639,-97.3278,"68601","Platte County","NE",16,-97.703881,-97.156071,41.641919,41.308202
"USC00138296",42.0356,-92.5806,"52342","Tama County","IA",9,-92.663595,-92.415221,42.152487,41.977964
"USC00252805",42.2611,-98.3417,"68735","Holt County","NE",17,-98.761183,-98.233038,42.350114,41.978199
"USC00113940",40.3031,-90.0647,"62644","Mason County","IL",10,-90.219692,-89.923397,40.398746,40.183945
"USW00014925",43.9042,-92.4917,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014923",41.4653,-90.5233,"61265","Rock Island County","IL",5,-90.539935,-90.399664,41.523533,41.442579
"USC00234382",39.3667,-94.3294,"64060","Clay County","MO",10,-94.480757,-94.236225,39.455527,39.280816
"USC00129222",41.4439,-86.9294,"46390","LaPorte County","IN",7,-86.939593,-86.81048,41.492277,41.346446
"USC00133718",43.0031,-96.485,"51023","Sioux County","IA",12,-96.588509,-96.332297,43.157555,42.908771
"USC00112736",42.0628,-88.2861,"60123","Kane County","IL",4,-88.341144,-88.270415,42.083564,41.985336
"USC00210157",43.8836,-94.1664,"56010","Blue Earth County","MN",11,-94.349159,-94.008254,43.957279,43.847781
"USC00132999",42.5836,-94.2006,"50501","Webster County","IA",15,-94.344496,-94.048003,42.630958,42.296136
"USC00238746",38.5417,-90.975,"63090","Franklin County","MO",8,-91.163553,-90.889602,38.609898,38.447565
"USC00471280",43.7447,-90.7783,"54619","Monroe County","WI",12,-90.961239,-90.635239,43.858883,43.655234
"USC00131541",42.72,-93.7336,"50525","Wright County","IA",12,-93.892558,-93.606582,42.848754,42.601003
"USC00217907",44.2469,-94.9864,"56087","Brown County","MN",11,-95.127199,-94.786142,44.351668,44.122221
"USW00014944",43.5878,-96.7289,"57104","Minnehaha County","SD",7,-96.774923,-96.631683,43.67432,43.534937
"USW00014943",42.3914,-96.3792,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014942",41.3103,-95.8992,NA,NA,NA,NA,NA,NA,NA,NA
"USW00014941",41.9856,-97.4353,"68701","Madison County","NE",14,-97.679218,-97.280747,42.148524,41.887848
"USW00014940",43.1544,-93.3269,"50428","Cerro Gordo County","IA",12,-93.497668,-93.280403,43.255591,43.009291
"USC00119241",39.4408,-90.3789,"62092","Greene County","IL",10,-90.526422,-90.264583,39.470216,39.354374
"USC00250622",40.2994,-96.75,"68310","Gage County","NE",13,-96.916384,-96.501662,40.364476,40.1466
